"CASE_ID","CASE_DT","COUNTY","TOWN","LOC","GEOMETRY_TYPE","LonLat","MAIN_TYPE","SUB_TYPE","CASE_DESCRIPTION","STATUS","SOURCE","INJURED_NO","DEATH_NO","TRAPPED_NO","MISSING_NO","SHELTER_NO","IS_TRAFFIC","IS_SERIOUS"
"042016120000001","2016-12-01T13:34:41.000+08:00","高雄市","前金區","高雄市前金區自強二路區公所","點","120.296468,22.621965","環境汙染","環境汙染","呼吸道不適10人","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001268","2016-11-30T16:15:38.000+08:00","高雄市","前鎮區","高雄市前鎮區","點","120.308536308982,22.5886838590239","路樹災情","路樹倒塌","影響交通","未指派","災情查報WEB","1","0","0","0","0","否","否"
"042016110001269","2016-11-29T16:17:38.000+08:00","高雄市","鳳山區","高雄市鳳山區鳳頂路115號","點","120.358609,22.587215","廣告招牌災情","廣告招牌欲墜","掉落一部分影響車輛通行","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001267","2016-11-29T10:54:14.000+08:00","臺南市","安平區","臺南市安平區","點","120.163224828623,22.9855092398602","廣告招牌災情","廣告招牌欲墜","TEST2
====================
TEST

====================
TEST2
","待處理","災情查報WEB","0","0","0","0","3","否","否"
"042016110001263","2016-11-29T10:51:26.000+08:00","臺南市","新市區","臺南市新市區中興街","點","120.295674,23.078967","道路、隧道災情","路基流失","直徑3公尺之流失","未指派","災情查報WEB","0","0","0","0","0","是","是"
"042016110001261","2016-11-29T10:50:59.000+08:00","臺南市","安平區","臺南市安平區永華路二段6號","點","120.163224828623,22.9855092398602","道路、隧道災情","土石流阻斷","路樹倒塌，測試","未指派","災情查報WEB","0","0","0","0","0","是","是"
"042016110001259","2016-11-29T10:47:59.000+08:00","臺南市","北區","臺南市北區","點","120.203083077779,23.0100778314755","道路、隧道災情","路基流失","egwg","未指派","災情查報WEB","0","0","0","0","0","是","否"
"042016110001258","2016-11-29T10:46:41.000+08:00","臺南市","東區","臺南市東區德高國小","點","120.230293047736,22.9804891496729","建物毀損","圍牆（籬）倒塌","後門圍牆倒塌","未指派","災情查報WEB","0","0","0","0","0","否","否"
"042016110001265","2016-11-29T10:30:22.000+08:00","臺南市","安平區","臺南市安平區","點","120.163224828623,22.9855092398602","路樹災情","路樹傾斜","路樹倒塌,測試
====================
沒水+土石流
","待處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001255","2016-11-29T10:27:59.000+08:00","臺南市","新營區","臺南市新營區民治路36號","點","120.314023,23.311718","路樹災情","路樹傾斜","3顆路樹傾斜,測試12345","處理中","災情查報WEB","0","0","0","0","0","否","否"
"042016110001253","2016-11-29T10:24:04.000+08:00","臺南市","北區","臺南市北區育德公園","點","120.203083077779,23.0100778314755","民生、基礎設施災情","電線（桿）毀損","斷電","已處理","災情查報WEB","0","0","0","0","0","否","是"
"042016110001252","2016-11-29T10:23:39.000+08:00","臺南市","東區","臺南市東區","點","120.230293047736,22.9804891496729","路樹災情","路樹傾斜","壓傷民眾2名已由119送至成大","處理中","災情查報WEB","2","0","0","0","0","否","否"
"042016110001251","2016-11-29T10:20:37.000+08:00","臺南市","東區","臺南市東區","點","120.230293047736,22.9804891496729","積淹水災情","房屋積淹水","積水10公分以上","未指派","災情查報WEB","1","0","0","0","0","是","是"
"042016110001250","2016-11-29T10:20:14.000+08:00","臺南市","中西區","臺南市中西區","點","120.185857882207,22.9943544871375","其他災情","其他","珍貴樹木倒塌壓到2輛轎車12345","未指派","災情查報WEB","0","0","0","0","0","否","否"
